,CSF,GM,WM,case,algorithm,time,iterations,init,atlas,atlas_use,model
0,0.16092958238686,0.9075759515485744,0.8955546181631268,1003,tm,-,-,-,-,-,tm
1,0.5154372496662216,0.7295119348967595,0.8101479447967573,1003,lp_ours,-,-,ours,-,-,lp
2,0.4431501862875251,0.677323872461222,0.7518259209388131,1003,lp_mni,-,-,mni,-,-,lp
3,0.7866130908321878,0.923292564053306,0.9496454983343808,1003,tm+lp_ours,-,-,ours,-,-,tm
4,0.2225683695802196,0.8707773864058566,0.9095267743879498,1003,tm+lp_mni,-,-,mni,-,-,tm
5,8.839485983890036e-05,0.7436250494773248,0.9215824360722694,1003,em_km,75.18374061584473,300,km,-,-,em
6,0.0324629918113561,0.8298742410684217,0.6251667400969889,1003,em_tm,68.57272267341614,300,tm,-,-,em
7,8.841211835435577e-05,0.7437072333887442,0.921581810817467,1003,em_lp_mni,67.43968319892883,300,lp,mni,-,em
8,8.841211835435577e-05,0.7437072333887442,0.921581810817467,1003,em_lp_ours,64.26042819023132,300,lp,ours,-,em
9,0.0872832751005339,0.8333234813107131,0.904413055976102,1003,em_km_af_mni,2.0896151065826416,0,km,mni,af,em
10,0.2107864883706191,0.880963650567529,0.9340651316899572,1003,em_km_af_ours,1.9089832305908203,0,km,ours,af,em
11,0.2928209515035862,0.7991079916060336,0.8925091782196528,1003,em_tm_af_mni,0.30030250549316406,0,tm,mni,af,em
12,0.5189497151350012,0.8529310263319624,0.9227973678831922,1003,em_tm_af_ours,0.2976698875427246,0,tm,ours,af,em
13,0.0872748862062141,0.832644606532679,0.9041385142938804,1003,em_tm_lp_af_mni,0.25202178955078125,0,tm,af,lp,em
14,0.2104260587973839,0.8803347568931525,0.9337753624966264,1003,em_tm_lp_af_ours,0.25644803047180176,0,tm,af,lp,em
15,0.0,0.0,0.7586556346610224,1003,em_km_in_mni,11.38983416557312,33,km,mni,in,em
16,0.0,0.0,0.7586556346610224,1003,em_km_in_ours,12.057415008544922,34,km,ours,in,em
17,0.0,0.8519784073093826,0.918520690318778,1003,em_tm_in_mni,41.67002487182617,147,tm,mni,in,em
18,0.1407502721963773,0.8898099719185377,0.9346433348331782,1003,em_tm_in_ours,22.931851863861084,85,tm,ours,in,em
19,0.0,0.8519784073093826,0.918520690318778,1003,em_tm_lp_in_mni,47.1729691028595,165,tm,in,lp,em
20,0.1407502721963773,0.8898099719185377,0.9346433348331782,1003,em_tm_lp_in_ours,22.472001314163208,86,tm,in,lp,em
